season,match_date,home_team,away_team,home_goals,away_goals,result,home_elo,away_elo,home_xg_form5,away_xg_form5,home_xg,away_xg
2018/19,2018-08-10,Man United,Leicester,2,1,H,1400.0,1400.0,,,1.514,1.738
2018/19,2018-08-11,Wolves,Everton,2,2,D,1400.0,1400.0,,,0.891,0.715
2018/19,2018-08-11,Watford,Brighton,2,0,H,1400.0,1400.0,,,1.424,0.455
2018/19,2018-08-11,Fulham,Crystal Palace,0,2,A,1400.0,1400.0,,,0.638,1.078
2018/19,2018-08-11,Huddersfield,Chelsea,0,3,A,1400.0,1400.0,,,0.396,2.314
2018/19,2018-08-11,Newcastle,Tottenham,1,2,A,1400.0,1400.0,,,0.974,2.581
2018/19,2018-08-11,Bournemouth,Cardiff,2,0,H,1400.0,1400.0,,,2.6,1.507
2018/19,2018-08-12,Liverpool,West Ham,4,0,H,1400.0,1400.0,,,4.344,0.404
2018/19,2018-08-12,Southampton,Burnley,0,0,D,1400.0,1400.0,,,1.02,1.408
2018/19,2018-08-12,Arsenal,Man City,0,2,A,1400.0,1400.0,,,0.445,2.018
2018/19,2018-08-18,Leicester,Wolves,2,0,H,1391.988,1398.012,1.738,0.891,0.223,1.093
2018/19,2018-08-18,Everton,Southampton,2,1,H,1401.988,1398.012,0.715,1.02,2.02,1.775
2018/19,2018-08-18,Chelsea,Arsenal,3,2,H,1411.988,1388.012,2.314,0.445,1.718,2.458
2018/19,2018-08-18,Cardiff,Newcastle,0,0,D,1391.988,1388.012,1.507,0.974,1.155,1.554
2018/19,2018-08-18,West Ham,Bournemouth,1,2,A,1391.988,1408.012,0.404,2.6,1.103,1.691
2018/19,2018-08-18,Tottenham,Fulham,3,1,H,1411.988,1388.012,2.581,0.638,3.267,1.443
2018/19,2018-08-19,Man City,Huddersfield,6,1,H,1411.988,1388.012,2.018,0.396,4.604,0.664
2018/19,2018-08-19,Brighton,Man United,3,2,H,1391.988,1408.012,0.455,1.514,1.637,1.566
2018/19,2018-08-19,Burnley,Watford,1,3,A,1401.988,1408.012,1.408,1.424,0.393,1.917
2018/19,2018-08-20,Crystal Palace,Liverpool,0,2,A,1411.988,1408.012,1.078,4.344,0.369,2.822
2018/19,2018-08-25,Arsenal,West Ham,3,1,H,1380.653,1380.447,1.452,0.754,1.785,1.179
2018/19,2018-08-25,Wolves,Man City,1,1,D,1389.833,1419.347,0.992,3.311,1.264,1.843
2018/19,2018-08-25,Southampton,Leicester,1,2,A,1390.11,1400.167,1.398,0.981,0.542,0.518
2018/19,2018-08-25,Liverpool,Brighton,1,0,H,1420.11,1400.447,3.583,1.046,1.814,0.536
2018/19,2018-08-25,Huddersfield,Cardiff,0,0,D,1380.653,1389.89,0.53,1.331,0.203,1.064
2018/19,2018-08-25,Bournemouth,Everton,2,2,D,1419.553,1409.89,2.146,1.368,2.589,0.544
2018/19,2018-08-26,Watford,Crystal Palace,2,1,H,1419.833,1399.89,1.671,0.724,1.146,1.219
2018/19,2018-08-26,Newcastle,Chelsea,1,2,A,1390.11,1419.347,1.264,2.016,0.209,1.497
2018/19,2018-08-26,Fulham,Burnley,4,2,H,1380.653,1390.167,1.041,0.901,1.925,1.569
2018/19,2018-08-27,Man United,Tottenham,0,3,A,1399.553,1419.347,1.54,2.924,1.403,1.808
2018/19,2018-09-01,Leicester,Liverpool,1,2,A,1411.875,1427.585,0.826,2.993,0.981,1.227
2018/19,2018-09-01,Crystal Palace,Southampton,0,2,A,1392.423,1378.401,0.889,1.112,2.352,3.136
2018/19,2018-09-01,Chelsea,Bournemouth,2,0,H,1430.515,1417.3,1.843,2.293,1.164,0.951
2018/19,2018-09-01,Brighton,Fulham,2,2,D,1392.972,1388.929,0.876,1.335,2.682,1.516
2018/19,2018-09-01,Man City,Newcastle,2,1,H,1420.507,1378.942,2.822,0.912,2.469,0.555
2018/19,2018-09-01,West Ham,Wolves,0,1,A,1372.44,1388.673,0.895,1.083,0.889,1.223
